"Competencia";"is_total";"UF";"cnae_subclasse";"Salario_Mensal"
"Fev/2019";FALSE;"29 - Bahia";"2452";0
"Fev/2019";FALSE;"31 - Minas Gerais";"2451";790690
"Fev/2019";FALSE;"31 - Minas Gerais";"2452";205181
"Fev/2019";FALSE;"32 - Espírito Santo";"2451";5007
"Fev/2019";FALSE;"32 - Espírito Santo";"2452";6691
"Fev/2019";FALSE;"33 - Rio de Janeiro";"2451";4487
"Fev/2019";FALSE;"33 - Rio de Janeiro";"2452";27914
"Fev/2019";FALSE;"35 - São Paulo";"2451";999899
"Fev/2019";FALSE;"35 - São Paulo";"2452";640331
"Fev/2019";FALSE;"41 - Paraná";"2451";155724
"Fev/2019";FALSE;"41 - Paraná";"2452";214572
"Fev/2019";FALSE;"42 - Santa Catarina";"2451";1626620
"Fev/2019";FALSE;"42 - Santa Catarina";"2452";127652
"Fev/2019";FALSE;"43 - Rio Grande do Sul";"2451";640055
"Fev/2019";FALSE;"43 - Rio Grande do Sul";"2452";139534
"Fev/2019";FALSE;"50 - Mato Grosso do Sul";"2451";2258
"Fev/2019";FALSE;"50 - Mato Grosso do Sul";"2452";6353
"Fev/2019";FALSE;"51 - Mato Grosso";"2451";3750
"Fev/2019";FALSE;"51 - Mato Grosso";"2452";1150
"Fev/2019";FALSE;"52 - Goiás";"2451";8063
"Fev/2019";FALSE;"52 - Goiás";"2452";3591
"Jan/2019";FALSE;"11 - Rondônia";"2451";2253
"Jan/2019";FALSE;"11 - Rondônia";"2452";0
"Jan/2019";FALSE;"13 - Amazonas";"2451";0
"Jan/2019";FALSE;"13 - Amazonas";"2452";26214
"Jan/2019";FALSE;"15 - Para";"2451";4160
"Jan/2019";FALSE;"15 - Para";"2452";0
"Jan/2019";FALSE;"21 - Maranhão";"2451";997
"Jan/2019";FALSE;"21 - Maranhão";"2452";0
"Jan/2019";FALSE;"23 - Ceará";"2451";10014
"Jan/2019";FALSE;"23 - Ceará";"2452";0
"Jan/2019";FALSE;"25 - Paraíba";"2451";2052
