"Competencia";"is_total";"Tipo_Movimentacao";"cnae_subclasse";"Quantidade"
"Mai/2018";FALSE;"Admissão por reemprego, reint, e Contr de trabalho por prazo det";"2452";384
"Mai/2018";FALSE;"Desligamento por demissão sem justa causa, térm de contrato prz det, térm contrato";"2451";551
"Mai/2018";FALSE;"Desligamento por demissão sem justa causa, térm de contrato prz det, térm contrato";"2452";303
"Mai/2018";FALSE;"Desligamento por demissão com justa causa";"2451";11
"Mai/2018";FALSE;"Desligamento por demissão com justa causa";"2452";3
"Mai/2018";FALSE;"Desligamento a pedido";"2451";190
"Mai/2018";FALSE;"Desligamento a pedido";"2452";60
"Mai/2018";FALSE;"Desligamento por morte";"2451";5
"Mai/2018";FALSE;"Desligamento por morte";"2452";3
"Mai/2018";FALSE;"Desligamento por acordo empregado e empregador";"2451";4
"Mai/2018";FALSE;"Desligamento por acordo empregado e empregador";"2452";3
"Abr/2018";FALSE;"Admissão por primeiro emprego";"2451";242
"Abr/2018";FALSE;"Admissão por primeiro emprego";"2452";18
"Abr/2018";FALSE;"Admissão por reemprego, reint, e Contr de trabalho por prazo det";"2451";842
"Abr/2018";FALSE;"Admissão por reemprego, reint, e Contr de trabalho por prazo det";"2452";435
"Abr/2018";FALSE;"Desligamento por demissão sem justa causa, térm de contrato prz det, térm contrato";"2451";632
"Abr/2018";FALSE;"Desligamento por demissão sem justa causa, térm de contrato prz det, térm contrato";"2452";269
"Abr/2018";FALSE;"Desligamento por demissão com justa causa";"2451";27
"Abr/2018";FALSE;"Desligamento por demissão com justa causa";"2452";2
"Abr/2018";FALSE;"Desligamento a pedido";"2451";199
"Abr/2018";FALSE;"Desligamento a pedido";"2452";79
"Abr/2018";FALSE;"Desligamento por aposentadoria";"2451";1
"Abr/2018";FALSE;"Desligamento por aposentadoria";"2452";0
"Abr/2018";FALSE;"Desligamento por morte";"2451";4
"Abr/2018";FALSE;"Desligamento por morte";"2452";1
"Abr/2018";FALSE;"Desligamento por acordo empregado e empregador";"2451";12
"Abr/2018";FALSE;"Desligamento por acordo empregado e empregador";"2452";4
"Mar/2018";FALSE;"Admissão por primeiro emprego";"2451";222
"Mar/2018";FALSE;"Admissão por primeiro emprego";"2452";24
"Mar/2018";FALSE;"Admissão por reemprego, reint, e Contr de trabalho por prazo det";"2451";853
"Mar/2018";FALSE;"Admissão por reemprego, reint, e Contr de trabalho por prazo det";"2452";456
"Mar/2018";FALSE;"Desligamento por demissão sem justa causa, térm de contrato prz det, térm contrato";"2451";548
"Mar/2018";FALSE;"Desligamento por demissão sem justa causa, térm de contrato prz det, térm contrato";"2452";252
"Mar/2018";FALSE;"Desligamento por demissão com justa causa";"2451";29
"Mar/2018";FALSE;"Desligamento por demissão com justa causa";"2452";2
"Mar/2018";FALSE;"Desligamento a pedido";"2451";241
"Mar/2018";FALSE;"Desligamento a pedido";"2452";60
"Mar/2018";FALSE;"Desligamento por morte";"2451";3
"Mar/2018";FALSE;"Desligamento por morte";"2452";1
"Mar/2018";FALSE;"Desligamento por acordo empregado e empregador";"2451";8
"Mar/2018";FALSE;"Desligamento por acordo empregado e empregador";"2452";1
"Fev/2018";FALSE;"Admissão por primeiro emprego";"2451";338
"Fev/2018";FALSE;"Admissão por primeiro emprego";"2452";34
"Fev/2018";FALSE;"Admissão por reemprego, reint, e Contr de trabalho por prazo det";"2451";865
"Fev/2018";FALSE;"Admissão por reemprego, reint, e Contr de trabalho por prazo det";"2452";414
"Fev/2018";FALSE;"Desligamento por demissão sem justa causa, térm de contrato prz det, térm contrato";"2451";550
"Fev/2018";FALSE;"Desligamento por demissão sem justa causa, térm de contrato prz det, térm contrato";"2452";241
"Fev/2018";FALSE;"Desligamento por demissão com justa causa";"2451";37
"Fev/2018";FALSE;"Desligamento por demissão com justa causa";"2452";0
"Fev/2018";FALSE;"Desligamento a pedido";"2451";214
